key,0,1
#,,
offset,0,4
int32,str,str
0,,
1,月門基地的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地正在進行第一次基地擴建工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
2,月門基地的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地正在實施第一次宇宙飛線鋪設工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
3,月門基地東南方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地東南方正在實施居住艙安裝工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
4,月門基地西北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地西北方正在實施第一次宇宙港建設工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
5,月門基地東北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地東北方正在實施第一次機甲庫擴建工程！<hex:02100103>工程急需人手！歡迎各位協助者加入！
6,憧憬灣西北方的建設工程即將完工。<hex:02100103>屆時工程對應的施工區域將禁止人員進入，敬請注意。,在炙熱海灣西北部，正在建設中的設施即將完工。<hex:02100103>預計設施完工時，相關區域將禁止進入，敬請留意。
7,憧憬灣東南方的建設工程即將完工。<hex:02100103>屆時工程對應的施工區域將禁止人員進入，敬請注意。,在炙熱海灣東南部，正在建設中的設施即將完工。<hex:02100103>預計設施完工時，相關區域將禁止進入，敬請留意。
8,憧憬灣南部的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,憧憬灣南部正在進行第一次隧道工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
9,憧憬灣南部的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,憧憬灣南部正在進行第二次隧道工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
10,憧憬灣西南方隧道深處的建設工程即將完工。<hex:02100103>屆時工程對應的施工區域將禁止人員進入，敬請注意。,在炙熱海灣西南部，隧道深處的建設中設施即將完工。<hex:02100103>預計設施完工時，相關區域將禁止進入，敬請留意。
11,月門基地的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地正在進行第二次基地擴建工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
12,月門基地西南方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地西南方正在實施能源設施擴建工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
13,月門基地西部的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地西部正在實施供水設施擴建工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
14,月門基地東北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地東北方正在實施第二次機甲庫擴建工程！<hex:02100103>工程急需人手！歡迎各位協助者加入！
15,月門基地西北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,月門基地西北方正在實施第二次宇宙港建設工程支援行動！<hex:02100103>工程急需人手！歡迎各位協助者加入！
16,憧憬灣東北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,憧憬灣東北方正在進行第一次升降梯建設用地整備工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
17,憧憬灣東北方的聯合工程即將動工。<hex:02100103>工程急需人手！歡迎各位協助者加入！,憧憬灣東北方正在進行第二次升降梯建設用地整備工程施工！<hex:02100103>工程急需人手！歡迎各位協助者加入！
